bathrooms,bedrooms,floor_area,href,latitude,listing_url,location,longitude,price,title,type
3 ,2 ,118 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-445458.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-445458.html,,,"85,000BHD",Brand New | Restaurant |Spa | Golf Course,Apartment
,,412 sqm,/en/buy/land-for-sale-muharraq-governorate-amwaj-islands-najma-442213.html,,https://www.propertyfinder.bh/en/buy/land-for-sale-muharraq-governorate-amwaj-islands-najma-442213.html,,,"177,390BHD",Residential land for sale  in Amwaj Island.,Land
6 ,5 ,484 sqm,/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-najma-458396.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-najma-458396.html,,,"360,000BHD","Beachfront Modern House,Elevator,Basement parking",Villa
3 ,2 ,162 sqm,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-453930.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-453930.html,,,"132,500BHD",Contemporary Villa with Private Garden,Villa
5 ,3 ,145 sqm,/en/buy/apartment-for-sale-capital-governorate-seef-490827.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-490827.html,,,"156,500BHD",Most Luxurious Tower With Attractive Payment Plan,Apartment
2 ,2 ,171 sqm,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-tala-island-458377.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-tala-island-458377.html,,,"95,000BHD","Live by the sea close to the beach, Quiet Location",Apartment
3 ,4 ,142 sqm,/en/buy/apartment-for-sale-muharraq-governorate-hidd-438990.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-438990.html,,,"52,500BHD",Brand New Flats for Sale in New Hidd near the Sea,Apartment
2 ,2 ,151 sqm,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-tala-island-458372.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-tala-island-458372.html,,,"85,000BHD","Beachfront Compound, Gated Family Community, Tala",Apartment
2 ,2 ,99 sqm,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-470071.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-470071.html,,,"52,000BHD",City View W/ Balcony Fully Furnished 2BHK!!!,Apartment
2 ,1 ,78 sqm,/en/buy/apartment-for-sale-capital-governorate-seef-466793.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-466793.html,,,"62,000BHD",Amazing 1 Bedroom with cinema at Seef Area,Apartment
3 ,3 ,130 sqm,/en/buy/apartment-for-sale-muharraq-governorate-hidd-468776.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-468776.html,,,"42,000BHD",Brand new 130 M2 | 3 Bedroom in new Hidd,Apartment
2 ,2 ,105 sqm,/en/buy/apartment-for-sale-northern-governorate-sehla-463196.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-northern-governorate-sehla-463196.html,,,"46,125BHD",Amazing Apartment available for Sale in Sehla,Apartment
2 ,1 ,89 sqm,/en/buy/apartment-for-sale-capital-governorate-seef-471261.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-471261.html,,,"74,000BHD",The Courtyard spacious freehold 1 BR w/ balcony,Apartment
3 ,3 ,278 sqm,/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-341148.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-341148.html,,,"180,000BHD",Park View 3BR Townhouse Villa @ Riffa Views,Villa
7 ,5 ,358 sqm,/en/buy/villa-for-sale-northern-governorate-janabiya-380768.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-janabiya-380768.html,,,"250,000BHD",Luxury villa for sale in Janabiya area.,Villa
2 ,2 ,127 sqm,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-423521.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-423521.html,,,"120,000BHD",Smart Apartment in Smart Building,Apartment
1 ,studio ,40 sqm,/en/buy/apartment-for-sale-capital-governorate-manama-sanabis-424188.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-manama-sanabis-424188.html,,,"32,000BHD","F.F studio near LMRA with GYM and  Pool,",Apartment
6 ,4 ,928 sqm,/en/buy/villa-for-sale-northern-governorate-saar-431230.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-431230.html,,,"360,000BHD",Outstanding villa 4 sale prime location...,Villa
2 ,1 ,70 sqm,/en/buy/apartment-for-sale-capital-governorate-manama-sanabis-402584.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-manama-sanabis-402584.html,,,"53,500BHD",JUST NOW RENTED * HIGH FLOOR * HOT DEAL*,Apartment
,,614 sqm,/en/buy/land-for-sale-central-governorate-salmabad-441663.html,,https://www.propertyfinder.bh/en/buy/land-for-sale-central-governorate-salmabad-441663.html,,,"145,471BHD",Land for sale in Salmabad on two streets.,Land
6 ,5 ,161 sqm,/en/buy/villa-for-sale-muharraq-governorate-hidd-458495.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-hidd-458495.html,,,"120,000BHD",For sale new villa in Hidd area,Villa
3 ,3 ,162 sqm,/en/buy/apartment-for-sale-muharraq-governorate-hidd-457710.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-457710.html,,,"62,000BHD","FLAT FOR SALE IN HIDD, Each floor is an apartment",Apartment
5 ,3 ,133 sqm,/en/buy/apartment-for-sale-muharraq-governorate-hidd-460685.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-460685.html,,,"53,000BHD",Apartment with Maids room and Balcony,Apartment
6 ,5 ,"1,500 sqm",/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-439650.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-439650.html,,,"650,000BHD",Durrat-1500m2 Beach and Jetty villas 4 sale,Villa
1 ,1 ,58 sqm,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-boulevard-449179.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-boulevard-449179.html,,,"69,888BHD","Prime Location, on top, free access to the beach",Apartment
3 ,3 ,306 sqm,/en/buy/apartment-for-sale-capital-governorate-seef-461253.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-461253.html,,,"295,000BHD","""Spiral Orchid"" Duplex Townhouse Sea View",Apartment
2 ,2 ,118 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-455421.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-455421.html,,,"55,000BHD",Modern Furnished- Best Price for Sale -2BR Flat,Apartment
2 ,2 ,118 sqm,/en/buy/apartment-for-sale-capital-governorate-seef-458633.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-458633.html,,,"110,000BHD","Unique, Modern Interior design /sea view",Apartment
3 ,4 ,340 sqm,/en/buy/penthouse-for-sale-muharraq-governorate-amwaj-islands-tala-island-467637.html,,https://www.propertyfinder.bh/en/buy/penthouse-for-sale-muharraq-governorate-amwaj-islands-tala-island-467637.html,,,"195,000BHD",Penthouse | Duplex | Sea view | Amwaj,Penthouse
1 ,1 ,47 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-489185.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-489185.html,,,"65,000BHD",Are you looking for | more space to spread out ?|,Apartment
1 ,1 ,90 sqm,/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-the-treasure-489537.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-the-treasure-489537.html,,,"53,000BHD",1 BR for sale in Dilmunia with balcony,Apartment
2 ,3 ,246 sqm,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-tala-island-489256.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-tala-island-489256.html,,,"130,000BHD","Terraced apartment,Family Community,Beach, Gardens",Apartment
6 ,6 ,550 sqm,/en/buy/villa-for-sale-northern-governorate-jeblat-hebshi-489805.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-jeblat-hebshi-489805.html,,,"320,000BHD",Very luxurious villa in a quiet area with garden,Villa
2 ,3 ,159 sqm,/en/buy/apartment-for-sale-northern-governorate-janabiya-490554.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-northern-governorate-janabiya-490554.html,,,"68,000BHD",Fully furnished Flat with Gym & Central A/C,Apartment
3 ,4 ,127 sqm,/en/buy/apartment-for-sale-muharraq-governorate-hidd-489935.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-489935.html,,,"50,000BHD",Spacious apartment - 4 rooms + balcony!,Apartment
2 ,2 ,108 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-487828.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-487828.html,,,"58,000BHD",Chic & Modernly Designed Near Oasis Mall,Apartment
,,500 sqm,/en/buy/land-for-sale-central-governorate-salmabad-487208.html,,https://www.propertyfinder.bh/en/buy/land-for-sale-central-governorate-salmabad-487208.html,,,"156,109BHD",For sale investment land in Salmabad !!!,Land
3 ,2 ,118 sqm,/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-canal-view-485385.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-canal-view-485385.html,,,"84,100BHD",Brand New - Free Hold - Top Developer,Apartment
5 ,4 ,175 sqm,/en/buy/villa-for-sale-northern-governorate-jid-al-haj-483353.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-jid-al-haj-483353.html,,,"112,000BHD",Villa in the Jid Alhaj area near the sea,Villa
5 ,4 ,310 sqm,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-naseem-482891.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-naseem-482891.html,,,"330,000BHD","Sea Front, private swimming pool & Garden",Villa
3 ,2 ,133 sqm,/en/buy/apartment-for-sale-capital-governorate-reef-island-481987.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-reef-island-481987.html,,,"130,000BHD",FULL SEA VIEW 2 BED FOR SALE - BEAUTIFUL VIEW,Apartment
4 ,5 ,320 sqm,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-noor-483305.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-noor-483305.html,,,"185,000BHD",Bright & Spacious Villa For Sale in Diyar,Villa
3 ,1 ,90 sqm,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-491651.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-491651.html,,,"97,973BHD",Own ready property and pay installment,Apartment
4 ,3 ,156 sqm,/en/buy/apartment-for-sale-northern-governorate-saar-296098.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-northern-governorate-saar-296098.html,,,"60,000BHD",3 Master BR Near-St Christopher's school,Apartment
,,471 sqm,/en/buy/land-for-sale-muharraq-governorate-samaheej-257445.html,,https://www.propertyfinder.bh/en/buy/land-for-sale-muharraq-governorate-samaheej-257445.html,,,"147,025BHD",Residential Lands for  Sale in Samaheej,Land
5 ,4 ,421 sqm,/en/buy/villa-for-sale-northern-governorate-saar-473671.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-473671.html,,,"250,000BHD",saar -250k New Contemporary 4br Standalone,Villa
3 ,2 ,120 sqm,/en/buy/apartment-for-sale-muharraq-governorate-busaiteen-465134.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-busaiteen-465134.html,,,"57,900BHD",Brand New Apartment With All Facilities,Apartment
6 ,5 ,435 sqm,/en/buy/villa-for-sale-northern-governorate-muqabah-477948.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-muqabah-477948.html,,,"310,000BHD",villa on a corner near To Saraya 1 area,Villa
1 ,1 ,64 sqm,/en/buy/apartment-for-sale-capital-governorate-seef-475838.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-475838.html,,,"59,000BHD",The Courtyard Ritz Carlton Sea View Corner Unit,Apartment
,,492 sqm,/en/buy/land-for-sale-northern-governorate-saar-455417.html,,https://www.propertyfinder.bh/en/buy/land-for-sale-northern-governorate-saar-455417.html,,,"153,580BHD",Residential Land for Sale in Saar – Saraya 1,Land
4 ,3 ,186 sqm,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-458607.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-458607.html,,,"127,500BHD",Brand New Villa for Sale in Diyar Al Muharraq,Villa
3 ,2 ,200 sqm,/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-tala-island-458384.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-tala-island-458384.html,,,"230,000BHD","Beachfront Villa With a Pool,Very Well Maintained",Villa
6 ,5 ,320 sqm,/en/buy/villa-for-sale-northern-governorate-saar-454281.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-454281.html,,,"180,000BHD",Gorgeous and luxury 5bed villa in quiet area,Villa
6 ,5 ,969 sqm,/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-441619.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-441619.html,,,"360,000BHD",Perfectly Located Corner 5BR Villa @ Riffa Views,Villa
4 ,4 ,183 sqm,/en/buy/apartment-for-sale-muharraq-governorate-hidd-451084.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-451084.html,,,"69,000BHD",Brand new apartment 4 Master Room sea view,Apartment
1 ,1 ,79 sqm,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-384299.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-384299.html,,,"86,000BHD",Most desirable land along the shores of Bahrain,Apartment
1 ,1 ,115 sqm,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-shores-residences-381518.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-shores-residences-381518.html,,,"91,888BHD","Direct Access to Beach, Luxurious Life Style",Apartment
3 ,2 ,117 sqm,/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-canal-view-384270.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-canal-view-384270.html,,,"81,600BHD",Apartment With Sea View & Multi-Sport Court,Apartment
,,512 sqm,/en/buy/land-for-sale-northern-governorate-shakhura-383502.html,,https://www.propertyfinder.bh/en/buy/land-for-sale-northern-governorate-shakhura-383502.html,,,"132,000BHD",Residential/Commercial land located in Shakurah,Land
5 ,4 ,315 sqm,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-madaen-342872.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-madaen-342872.html,,,"210,000BHD",Great View w/ easy Access to Dragon City,Villa
4 ,3 ,171 sqm,/en/buy/apartment-for-sale-capital-governorate-reef-island-347593.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-reef-island-347593.html,,,"185,000BHD",BARGAIN -RESORT VIEW -WELL FURNISHED-RENTED,Apartment
2 ,2 ,128 sqm,/en/buy/apartment-for-sale-capital-governorate-reef-island-455263.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-reef-island-455263.html,,,"107,000BHD","Elegant,Modern 2BR+Balcony Excellent Price",Apartment
,,184 sqm,/en/buy/land-for-sale-central-governorate-eker-463366.html,,https://www.propertyfinder.bh/en/buy/land-for-sale-central-governorate-eker-463366.html,,,"46,000BHD",للبيع أرض سكنية في منطقة العكر !!!!,Land
6 ,5 ,376 sqm,/en/buy/villa-for-sale-northern-governorate-saar-473536.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-473536.html,,,"255,000BHD",For sale villa in Saar - excellent location,Villa
4 ,3 ,168 sqm,/en/buy/villa-for-sale-northern-governorate-al-maqsha-471390.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-al-maqsha-471390.html,,,"115,000BHD",Brand New Villa for Sale in Meqsha,Villa
1 ,studio ,54 sqm,/en/buy/apartment-for-sale-capital-governorate-seef-475034.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-475034.html,,,"47,000BHD",Royal Studio For Sal In Catamaran Tower.,Apartment
2 ,2 ,125 sqm,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-the-lagoon-480984.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-the-lagoon-480984.html,,,"63,000BHD",Freehold - Luxury - Spacious - Furnished,Apartment
bathrooms,bedrooms,floor_area,href,latitude,listing_url,location,longitude,price,title,type
3 ,2 ,117 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-493545.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-493545.html,,,"98,000BHD",Sea view apartment in the heart of Juffair,Apartment
5 ,4 ,319 sqm,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-naseem-493897.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-naseem-493897.html,,,"262,445BHD","Modern, Canal View Villa, Secure Gated",Villa
2 ,1 ,76 sqm,/en/buy/apartment-for-sale-capital-governorate-manama-bahrain-financial-harbour-493497.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-manama-bahrain-financial-harbour-493497.html,,,"99,000BHD",Enviable Water Front Location-Negotiable for Cash!,Apartment
2 ,2 ,103 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-493028.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-493028.html,,,"61,000BHD",Investment opportunity for new buyers or investors,Apartment
4 ,3 ,157 sqm,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-493121.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-493121.html,,,"255,888BHD",LUXURIOUS FLATS @ ADDRESS MARASSI AL BAHRAIN,Apartment
2 ,2 ,79 sqm,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-493132.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-493132.html,,,"99,888BHD",AMAZING OFFER FULLY FURNISHED EASY PAYMENT PLAN,Apartment
3 ,2 ,104 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-493021.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-493021.html,,,"105,000BHD",Brand-new apartment for sale and BD 800 for rent,Apartment
6 ,5 ,320 sqm,/en/buy/villa-for-sale-northern-governorate-sadad-492561.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-sadad-492561.html,,,"148,000BHD",Modren design I Amazing villa with large garden,Villa
3 ,3 ,100 sqm,/en/buy/apartment-for-sale-muharraq-governorate-hidd-441157.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-441157.html,,,"36,000BHD",For sale a new flat in new Hidd 3bedrooms,Apartment
7 ,4 ,800 sqm,/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-474222.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-474222.html,,,"450,000BHD",Breathtaking 4 BR 800sqm Patel 4 Villa @ Durrat,Villa
5 ,4 ,308 sqm,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-423512.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-423512.html,,,"163,500BHD",Own Your Villa Now & Start Paying Later,Villa
,,320 sqm,/en/buy/land-for-sale-muharraq-governorate-diyar-al-muharraq-al-bareh-493961.html,,https://www.propertyfinder.bh/en/buy/land-for-sale-muharraq-governorate-diyar-al-muharraq-al-bareh-493961.html,,,"95,000BHD",Mozoon Residential Plots               .,Land
5 ,3 ,186 sqm,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-deerat-al-oyoun-457704.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-deerat-al-oyoun-457704.html,,,"125,000BHD",NEW Villa For Sale in diyar  (Negotiable),Villa
5 ,4 ,750 sqm,/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-473084.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-473084.html,,,"400,000BHD",Outstanding 750 Jetty Villa @ Durrat al Bahrain,Villa
6 ,5 ,"1,000 sqm",/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-473103.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-473103.html,,,"450,000BHD",Outstanding Open Sea 1000 Jetty Villa @ Durrat,Villa
2 ,1 ,89 sqm,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-466246.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-466246.html,,,"89,300BHD",Limited Units Available | Flexible Payments,Apartment
1 ,2 ,71 sqm,/en/buy/apartment-for-sale-northern-governorate-janabiya-465035.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-northern-governorate-janabiya-465035.html,,,"37,000BHD","Brand New Flat, Great Value near Al Marcado",Apartment
6 ,4 ,315 sqm,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-madaen-342556.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-madaen-342556.html,,,"210,000BHD","Private Pool, Garden and 2 Balcony Homes",Villa
1 ,1 ,63 sqm,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-shores-residences-382879.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-shores-residences-382879.html,,,"91,888BHD","Direct Access to Beach, Luxurious Life Style",Apartment
5 ,4 ,308 sqm,/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-amwaj-marina-428194.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-amwaj-marina-428194.html,,,"194,000BHD",Four bedroom Villa with facilities,Villa
,,513 sqm,/en/buy/land-for-sale-northern-governorate-shakhura-431666.html,,https://www.propertyfinder.bh/en/buy/land-for-sale-northern-governorate-shakhura-431666.html,,,"132,500BHD",Private Residental Land  in Block 481,Land
4 ,3 ,219 sqm,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-473192.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-473192.html,,,"219,000BHD",Brand New |Flexible Payment Plan| by 2022,Apartment
,,320 sqm,/en/buy/land-for-sale-muharraq-governorate-diyar-al-muharraq-al-bareh-493983.html,,https://www.propertyfinder.bh/en/buy/land-for-sale-muharraq-governorate-diyar-al-muharraq-al-bareh-493983.html,,,"95,000BHD",Al Bareh Residential Plots   .,Land
7+ ,6 ,440 sqm,/en/buy/villa-for-sale-central-governorate-sanad-490587.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-central-governorate-sanad-490587.html,,,"165,000BHD",Brand new I Located on two road I Central AC,Villa
3 ,3 ,191 sqm,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-tala-island-469712.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-tala-island-469712.html,,,"120,000BHD",Luxury apartment with beautiful Sea view.,Apartment
2 ,1 ,87 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-471020.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-471020.html,,,"53,000BHD",Spacious with Balcony @Juffair Heights,Apartment
7 ,5 ,500 sqm,/en/buy/villa-for-sale-northern-governorate-saar-493386.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-493386.html,,,"370,000BHD",Luxurios Villa for Sale in Saar – Saraya 1,Villa
4 ,3 ,116 sqm,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-493109.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-493109.html,,,"118,888BHD",STUNNING 3 BEDROOM FLAT 5 YEARS PAYMENT PLAN,Apartment
6 ,5 ,390 sqm,/en/buy/villa-for-sale-northern-governorate-saar-489618.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-489618.html,,,"330,000BHD",Brand New Villas for Sale in Saar – Saraya 1,Villa
4 ,3 ,214 sqm,/en/buy/apartment-for-sale-northern-governorate-janabiya-488777.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-northern-governorate-janabiya-488777.html,,,"105,000BHD",Luxury Apartment for Sale in Janabiaya Area,Apartment
2 ,3 ,159 sqm,/en/buy/apartment-for-sale-northern-governorate-janabiya-488738.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-northern-governorate-janabiya-488738.html,,,"78,000BHD",Brand new apartment w' gym near Mercado Mall,Apartment
,,385 sqm,/en/buy/land-for-sale-northern-governorate-maqabah-488775.html,,https://www.propertyfinder.bh/en/buy/land-for-sale-northern-governorate-maqabah-488775.html,,,"124,485BHD",Corner Land Available for Sale in Saraya1 Area,Land
2 ,1 ,80 sqm,/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-the-treasure-431790.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-the-treasure-431790.html,,,"58,000BHD","Canal view,affordable price, Urgent Sale.",Apartment
5 ,4 ,413 sqm,/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-tala-island-414164.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-tala-island-414164.html,,,"330,000BHD",Luxury living beach front villa with pool,Villa
6 ,5 ,715 sqm,/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-477991.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-477991.html,,,"550,000BHD",Lagoon Estate Signature 5BR Villa @ Riffa Views,Villa
